"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"4400","36399511","METTL3-mediated m6A modification stabilizes TERRA and maintains telomere stability.","TERRA","maintain","Telomere Stability","Null","TERRA","MAINTAINS","Telomere Stability","Null"
"4402","36401086","METTL14 upregulates TCF1 through m6A mRNA methylation to stimulate osteogenic activity in osteoporosis.","METTL14","upregulate","TCF1","Osteoporosis","METTL14","STIMULATES","HNF1A","Osteoporosis"
"4403","36401086","METTL14 upregulates TCF1 through m6A mRNA methylation to stimulate osteogenic activity in osteoporosis.","METTL14","methylate","m6A","Osteoporosis","METTL14","CONVERTS_TO","m6A","Osteoporosis"
"4404","36401086","METTL14 upregulates TCF1 through m6A mRNA methylation to stimulate osteogenic activity in osteoporosis.","TCF1","stimulate","osteogenic activity","Osteoporosis","HNF1A","STIMULATES","osteogenic activity","Osteoporosis"
"4406","36401285","HNRNPA2B1-mediated m6A modification of TLR4 mRNA promotes progression of multiple myeloma.","HNRNPA2B1","mediate","m6A","Multiple Myeloma","HNRNPA2B1","AFFECTS","m6A","Multiple Myeloma"
"4407","36401285","HNRNPA2B1-mediated m6A modification of TLR4 mRNA promotes progression of multiple myeloma.","m6A","modify","TLR4 mRNA","Multiple Myeloma","m6A","AFFECTS","TLR4","Multiple Myeloma"
"4408","36401285","HNRNPA2B1-mediated m6A modification of TLR4 mRNA promotes progression of multiple myeloma.","TLR4 mRNA","promote","Progression","Multiple Myeloma","TLR4","STIMULATES","progression","Multiple Myeloma"
"4409","36401285","HNRNPA2B1-mediated m6A modification of TLR4 mRNA promotes progression of multiple myeloma.","HNRNPA2B1","promote","Progression","Multiple Myeloma","HNRNPA2B1","STIMULATES","progression","Multiple Myeloma"
"4411","36403721","Glutamate from nerve cells promotes perineural invasion in pancreatic cancer by regulating tumor glycolysis through HK2 mRNA-m6A modification.","Glutamate","promote","Perineural Invasion","Pancreatic Cancer","L-glutamic acid","STIMULATES","Perineural Invasion","PAAD(Pancreatic Adenocarcinoma)"
"4412","36403721","Glutamate from nerve cells promotes perineural invasion in pancreatic cancer by regulating tumor glycolysis through HK2 mRNA-m6A modification.","Glutamate","regulate","Tumor Glycolysis","Pancreatic Cancer","L-glutamic acid","AFFECTS","Tumor Glycolysis","PAAD(Pancreatic Adenocarcinoma)"
"4413","36403721","Glutamate from nerve cells promotes perineural invasion in pancreatic cancer by regulating tumor glycolysis through HK2 mRNA-m6A modification.","Glutamate","regulate","m6A","Pancreatic Cancer","L-glutamic acid","AFFECTS","m6A","PAAD(Pancreatic Adenocarcinoma)"
"4414","36403721","Glutamate from nerve cells promotes perineural invasion in pancreatic cancer by regulating tumor glycolysis through HK2 mRNA-m6A modification.","m6A","is on","HK2 mRNA","Pancreatic Cancer","m6A","LOCATES","HK2","PAAD(Pancreatic Adenocarcinoma)"
"4415","36403721","Glutamate from nerve cells promotes perineural invasion in pancreatic cancer by regulating tumor glycolysis through HK2 mRNA-m6A modification.","HK2 mRNA","regulate","Tumor Glycolysis","Pancreatic Cancer","HK2","AFFECTS","Tumor Glycolysis","PAAD(Pancreatic Adenocarcinoma)"
"4417","36403857","N6-methyladenosine (m6A) RNA methylation mediated by methyltransferase complex subunit WTAP regulates amelogenesis.","WTAP","mediate","m6A","Null","WTAP","AFFECTS","m6A","Null"
"4418","36403857","N6-methyladenosine (m6A) RNA methylation mediated by methyltransferase complex subunit WTAP regulates amelogenesis.","m6A","regulate","amelogenesis","Null","m6A","AFFECTS","amelogenesis","Null"
"4419","36403857","N6-methyladenosine (m6A) RNA methylation mediated by methyltransferase complex subunit WTAP regulates amelogenesis.","WTAP","regulate","amelogenesis","Null","WTAP","AFFECTS","amelogenesis","Null"
"4421","36406135","METTL16 regulates m6A methylation on chronic hepatitis B associated gene HLA-DPB1 involved in liver fibrosis.","METTL16","regulate","m6A methylation","Liver Fibrosis","METTL16","AFFECTS","m6A","Liver Cirrhosis"
"4422","36406135","METTL16 regulates m6A methylation on chronic hepatitis B associated gene HLA-DPB1 involved in liver fibrosis.","m6A methylation","is on","HLA-DPB1","Liver Fibrosis","m6A","LOCATES","HLA-DPB1","Liver Cirrhosis"
"4423","36406135","METTL16 regulates m6A methylation on chronic hepatitis B associated gene HLA-DPB1 involved in liver fibrosis.","HLA-DPB1","involve","liver fibrosis","Liver Fibrosis","HLA-DPB1","ASSOCIATED_WITH","Liver Cirrhosis","Liver Cirrhosis"
"4424","36406135","METTL16 regulates m6A methylation on chronic hepatitis B associated gene HLA-DPB1 involved in liver fibrosis.","m6A methylation","regulate","liver fibrosis","Liver Fibrosis","m6A","AFFECTS","Liver Cirrhosis","Liver Cirrhosis"
"4426","36412513","WTAP dysregulation-mediated HMGN3-m6A modification inhibited trophoblast invasion in early-onset preeclampsia.","WTAP","dysregulate","HMGN3","Early-onset preeclampsia","WTAP","dysregulate","HMGN3","Early-onset preeclampsia"
"4427","36412513","WTAP dysregulation-mediated HMGN3-m6A modification inhibited trophoblast invasion in early-onset preeclampsia.","HMGN3","modify","m6A modification","Early-onset preeclampsia","HMGN3","AFFECTS","m6A","Early-onset preeclampsia"
"4428","36412513","WTAP dysregulation-mediated HMGN3-m6A modification inhibited trophoblast invasion in early-onset preeclampsia.","m6A modification","inhibit","trophoblast invasion","Early-onset preeclampsia","m6A","INHIBITS","Trophoblast Invasion","Early-onset preeclampsia"
"4430","36413861","Linc-UROD stabilizes ENO1 and PKM to strengthen glycolysis, proliferation and migration of pancreatic cancer cells.","Linc-UROD","stabilize","ENO1","Pancreatic Cancer Cells","Linc-UROD","MAINTAINS","ENO1","PAAD(Pancreatic Adenocarcinoma)"
"4431","36413861","Linc-UROD stabilizes ENO1 and PKM to strengthen glycolysis, proliferation and migration of pancreatic cancer cells.","Linc-UROD","stabilize","PKM","Pancreatic Cancer Cells","Linc-UROD","MAINTAINS","PKM","PAAD(Pancreatic Adenocarcinoma)"
"4432","36413861","Linc-UROD stabilizes ENO1 and PKM to strengthen glycolysis, proliferation and migration of pancreatic cancer cells.","ENO1","strengthen","Glycolysis","Pancreatic Cancer Cells","ENO1","strengthen","glycolytic process","PAAD(Pancreatic Adenocarcinoma)"
"4433","36413861","Linc-UROD stabilizes ENO1 and PKM to strengthen glycolysis, proliferation and migration of pancreatic cancer cells.","ENO1","strengthen","Proliferation and Migration","Pancreatic Cancer Cells","ENO1","strengthen","Proliferation and Migration","PAAD(Pancreatic Adenocarcinoma)"
"4434","36413861","Linc-UROD stabilizes ENO1 and PKM to strengthen glycolysis, proliferation and migration of pancreatic cancer cells.","PKM","strengthen","Glycolysis","Pancreatic Cancer Cells","PKM","strengthen","glycolytic process","PAAD(Pancreatic Adenocarcinoma)"
"4435","36413861","Linc-UROD stabilizes ENO1 and PKM to strengthen glycolysis, proliferation and migration of pancreatic cancer cells.","PKM","strengthen","Proliferation and Migration","Pancreatic Cancer Cells","PKM","strengthen","Proliferation and Migration","PAAD(Pancreatic Adenocarcinoma)"
"4437","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","FIONA1","play role in","floral transition","Arabidopsis","FIONA1","play role in","floral transition","Arabidopsis"
"4438","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","FIONA1","affect splicing of","FLC","Arabidopsis","FIONA1","affect splicing of","Fibrolamellar Carcinoma","Arabidopsis"
"4439","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","FIONA1","affect stability of","SPL3","Arabidopsis","FIONA1","affect stability of","SPL3","Arabidopsis"
"4440","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","FIONA1","affect stability of","3-Sep","Arabidopsis","FIONA1","affect stability of","3-Sep","Arabidopsis"
"4441","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","FLC","regulate","floral transition","Arabidopsis","Fibrolamellar Carcinoma","AFFECTS","floral transition","Arabidopsis"
"4442","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","SPL3","regulate","floral transition","Arabidopsis","SPL3","AFFECTS","floral transition","Arabidopsis"
"4443","36416766","FIONA1 is an N6-methyladenosine methyltransferase that plays a vital role in floral transition via affecting the splicing of FLC and the stability of SPL3 and SEP3 in Arabidopsis.","3-Sep","regulate","floral transition","Arabidopsis","3-Sep","AFFECTS","floral transition","Arabidopsis"
"4445","36417851","m6A-modified lincRNA Dubr is required for neuronal development by stabilizing YTHDF1/3 and facilitating mRNA translation.","m6A","modify","lincRNA Dubr","Neuronal Development","m6A","AFFECTS","lincRNA Dubr","Neuronal Development"
"4446","36417851","m6A-modified lincRNA Dubr is required for neuronal development by stabilizing YTHDF1/3 and facilitating mRNA translation.","lincRNA Dubr","stabilize","YTHDF1/3","Neuronal Development","lincRNA Dubr","MAINTAINS","YTHDF1/3","Neuronal Development"
"4447","36417851","m6A-modified lincRNA Dubr is required for neuronal development by stabilizing YTHDF1/3 and facilitating mRNA translation.","lincRNA Dubr","facilitate","mRNA translation","Neuronal Development","lincRNA Dubr","AUGMENTS","translation","Neuronal Development"
"4448","36417851","m6A-modified lincRNA Dubr is required for neuronal development by stabilizing YTHDF1/3 and facilitating mRNA translation.","mRNA translation","regulate","Neuronal Development","Neuronal Development","translation","AFFECTS","Neuronal Development","Neuronal Development"
"4450","36418936","ALKBH5 in mouse testicular Sertoli cells regulates Cdh2 mRNA translation to maintain blood-testis barrier integrity.","ALKBH5","regulate","Cdh2 mRNA","Mouse Testicular Sertoli Cells","ALKBH5","AFFECTS","CDH2","Mouse Testicular Sertoli Cells"
"4451","36418936","ALKBH5 in mouse testicular Sertoli cells regulates Cdh2 mRNA translation to maintain blood-testis barrier integrity.","Cdh2 mRNA","maintain","Blood-Testis Barrier Integrity","Mouse Testicular Sertoli Cells","CDH2","MAINTAINS","Blood-Testis Barrier Integrity","Mouse Testicular Sertoli Cells"
"4453","36419136","UBR7 inhibits HCC tumorigenesis by targeting Keap1/Nrf2/Bach1/HK2 and glycolysis.","UBR7","inhibit","tumorigenesis","HCC","UBR7","INHIBITS","Carcinogenesis","HYCC1"
"4454","36419136","UBR7 inhibits HCC tumorigenesis by targeting Keap1/Nrf2/Bach1/HK2 and glycolysis.","UBR7","target","Keap1","HCC","UBR7","INTERACTS_WITH","KEAP1","HYCC1"
"4455","36419136","UBR7 inhibits HCC tumorigenesis by targeting Keap1/Nrf2/Bach1/HK2 and glycolysis.","UBR7","target","Nrf2","HCC","UBR7","INTERACTS_WITH","NFE2L2","HYCC1"
"4456","36419136","UBR7 inhibits HCC tumorigenesis by targeting Keap1/Nrf2/Bach1/HK2 and glycolysis.","UBR7","target","Bach1","HCC","UBR7","INTERACTS_WITH","BACH1","HYCC1"
"4457","36419136","UBR7 inhibits HCC tumorigenesis by targeting Keap1/Nrf2/Bach1/HK2 and glycolysis.","UBR7","target","HK2","HCC","UBR7","INTERACTS_WITH","HK2","HYCC1"
"4458","36419136","UBR7 inhibits HCC tumorigenesis by targeting Keap1/Nrf2/Bach1/HK2 and glycolysis.","UBR7","target","glycolysis","HCC","UBR7","INTERACTS_WITH","glycolytic process","HYCC1"
"4460","36422864","N6-methyladenosine (m6A) reader Pho92 is recruited co-transcriptionally and couples translation to mRNA decay to promote meiotic fitness in yeast.","Pho92","read","m6A","Yeast","Pho92","read","m6A","Yeasts"
"4461","36422864","N6-methyladenosine (m6A) reader Pho92 is recruited co-transcriptionally and couples translation to mRNA decay to promote meiotic fitness in yeast.","Pho92","regulate","translation","Yeast","Pho92","AFFECTS","translation","Yeasts"
"4462","36422864","N6-methyladenosine (m6A) reader Pho92 is recruited co-transcriptionally and couples translation to mRNA decay to promote meiotic fitness in yeast.","Pho92","regulate","mRNA decay","Yeast","Pho92","AFFECTS","mRNA catabolic process","Yeasts"
"4463","36422864","N6-methyladenosine (m6A) reader Pho92 is recruited co-transcriptionally and couples translation to mRNA decay to promote meiotic fitness in yeast.","translation","promote","meiotic fitness","Yeast","translation","STIMULATES","meiotic fitness","Yeasts"
"4464","36422864","N6-methyladenosine (m6A) reader Pho92 is recruited co-transcriptionally and couples translation to mRNA decay to promote meiotic fitness in yeast.","mRNA decay","promote","meiotic fitness","Yeast","mRNA catabolic process","STIMULATES","meiotic fitness","Yeasts"
"4466","36423520","HDLBP-stabilized lncFAL inhibits ferroptosis vulnerability by diminishing Trim69-dependent FSP1 degradation in hepatocellular carcinoma.","HDLBP","stabilize","lncFAL","Hepatocellular Carcinoma","HDLBP","MAINTAINS","PLXNB2","LIHC(Liver Hepatocellular Carcinoma)"
"4467","36423520","HDLBP-stabilized lncFAL inhibits ferroptosis vulnerability by diminishing Trim69-dependent FSP1 degradation in hepatocellular carcinoma.","lncFAL","inhibit","ferroptosis vulnerability","Hepatocellular Carcinoma","PLXNB2","INHIBITS","ferroptosis vulnerability","LIHC(Liver Hepatocellular Carcinoma)"
"4468","36423520","HDLBP-stabilized lncFAL inhibits ferroptosis vulnerability by diminishing Trim69-dependent FSP1 degradation in hepatocellular carcinoma.","lncFAL","diminish","Trim69","Hepatocellular Carcinoma","PLXNB2","diminish","TRIM69","LIHC(Liver Hepatocellular Carcinoma)"
"4469","36423520","HDLBP-stabilized lncFAL inhibits ferroptosis vulnerability by diminishing Trim69-dependent FSP1 degradation in hepatocellular carcinoma.","Trim69","degrade","FSP1 degradation","Hepatocellular Carcinoma","TRIM69","INHIBITS","FSP1 degradation","LIHC(Liver Hepatocellular Carcinoma)"
"4470","36423520","HDLBP-stabilized lncFAL inhibits ferroptosis vulnerability by diminishing Trim69-dependent FSP1 degradation in hepatocellular carcinoma.","FSP1 degradation","regulate","ferroptosis vulnerability","Hepatocellular Carcinoma","FSP1 degradation","AFFECTS","ferroptosis vulnerability","LIHC(Liver Hepatocellular Carcinoma)"
"4472","36428672","N6-Methyladenosine Modification of CIRCKRT17 Initiated by METTL3 Promotes Osimertinib Resistance of Lung Adenocarcinoma by EIF4A3 to Enhance YAP1 Stability.","METTL3","initiate","N6-Methyladenosine","Lung Adenocarcinoma","METTL3","CAUSES","m6A","LUAD(Lung Adenocarcinoma)"
"4473","36428672","N6-Methyladenosine Modification of CIRCKRT17 Initiated by METTL3 Promotes Osimertinib Resistance of Lung Adenocarcinoma by EIF4A3 to Enhance YAP1 Stability.","N6-Methyladenosine","modify","CIRCKRT17","Lung Adenocarcinoma","m6A","AFFECTS","CIRCKRT17","LUAD(Lung Adenocarcinoma)"
"4474","36428672","N6-Methyladenosine Modification of CIRCKRT17 Initiated by METTL3 Promotes Osimertinib Resistance of Lung Adenocarcinoma by EIF4A3 to Enhance YAP1 Stability.","CIRCKRT17","promote","Osimertinib Resistance","Lung Adenocarcinoma","CIRCKRT17","STIMULATES","Osimertinib Resistance","LUAD(Lung Adenocarcinoma)"
